dataset_entry,elapsed_seconds,expanded_from,extract_elapsed_seconds,extract_return_code,extract_status,graph_elapsed_seconds,graph_return_code,graph_status,index_elapsed_seconds,index_return_code,index_status,manifest_path,manifest_rel_path,outcome,source_group,targets_elapsed_seconds,targets_return_code,targets_status,unit_name,unsafe_target_count,workspace_dir,workunit_key,compile_failed_crates,compile_failed_target_kinds,compile_failure_kind,compile_ok_count,compile_status,coverage_rate,fix_status,fix_success_count,found_bugs,needs_review,phase3_run_elapsed_seconds,phase3_run_return_code,phase3_run_status,related_coverage_rate,runtime_issue_count,smoke_bug_count,smoke_ok_count,smoke_review_count,smoke_status,top_api_status,top_target_api_id,top_target_path,top_target_score,error_message,error_stage
sys-info-0.7.0,62.78,,0.56,0,ok,0.24,0,ok,21.47,0,ok,/tmp/deepSURF-main/dataset/rustsan_crates/sys-info-0.7.0/Cargo.toml,rustsan_crates/sys-info-0.7.0/Cargo.toml,validated,RUSTSAN,0.24,0,ok,sys-info-0.7.0,10,/tmp/seraph-deepsurf-round1-fullrerun-20260429/sys-info-0.7.0,rustsan_crates/sys-info-0.7.0/Cargo.toml,[],[],,1,ok,1.0,ok,0,[],[],40.26,0,ok,0.4,0,0,1,0,ok,validated,api::sys_info::disk_info,sys_info::disk_info,2.3,,
bincode-2.0.0-rc.3,0.7,,0.7,1,failed,,,,,,,/tmp/deepSURF-main/dataset/rug_crates/bincode-2.0.0-rc.3/Cargo.toml,rug_crates/bincode-2.0.0-rc.3/Cargo.toml,extract_failed,RUG,,,,bincode-2.0.0-rc.3,,/tmp/seraph-deepsurf-round1-fullrerun-20260429/bincode-2.0.0-rc.3,rug_crates/bincode-2.0.0-rc.3/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,,,"failed to extract knowledge from manifest: failed to parse rustdoc JSON: invalid type: map, expected a string at line 1 column 192817",extract
chrono-0.5.0-alpha.1,254.89,,1.98,0,ok,0.29,0,ok,252.39,0,ok,/tmp/deepSURF-main/dataset/rug_crates/chrono-0.5.0-alpha.1/Cargo.toml,rug_crates/chrono-0.5.0-alpha.1/Cargo.toml,no_targets,RUG,0.24,0,ok,chrono-0.5.0-alpha.1,0,/tmp/seraph-deepsurf-round1-fullrerun-20260429/chrono-0.5.0-alpha.1,rug_crates/chrono-0.5.0-alpha.1/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,,,,
hashes,9.69,hashes workspace member,0.68,0,ok,0.24,0,ok,8.54,0,ok,/tmp/deepSURF-main/dataset/rug_crates/hashes/blake2/Cargo.toml,rug_crates/hashes/blake2/Cargo.toml,no_targets,RUG,0.24,0,ok,hashes-blake2,0,/tmp/seraph-deepsurf-round1-fullrerun-20260429/hashes-blake2,rug_crates/hashes/blake2/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,,,,
hashes,12.86,hashes workspace member,0.6,0,ok,0.24,0,ok,11.77,0,ok,/tmp/deepSURF-main/dataset/rug_crates/hashes/sha2/Cargo.toml,rug_crates/hashes/sha2/Cargo.toml,no_targets,RUG,0.24,0,ok,hashes-sha2,0,/tmp/seraph-deepsurf-round1-fullrerun-20260429/hashes-sha2,rug_crates/hashes/sha2/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,,,,
itoa-1.0.6,34.33,,0.52,0,ok,0.25,0,ok,8.51,0,ok,/tmp/deepSURF-main/dataset/rug_crates/itoa-1.0.6/Cargo.toml,rug_crates/itoa-1.0.6/Cargo.toml,validated,RUG,0.25,0,ok,itoa-1.0.6,1,/tmp/seraph-deepsurf-round1-fullrerun-20260429/itoa-1.0.6,rug_crates/itoa-1.0.6/Cargo.toml,[],[],,1,ok,1.0,ok,0,[],[],24.8,0,ok,1.0,0,0,1,0,ok,validated,api::itoa::Buffer::format,itoa::Buffer::format,2.2,,
serde_json-1.0.96,390.72,,1.3,0,ok,0.27,0,ok,167.62,0,ok,/tmp/deepSURF-main/dataset/rug_crates/serde_json-1.0.96/Cargo.toml,rug_crates/serde_json-1.0.96/Cargo.toml,crate_build_failed,RUG,0.25,0,ok,serde_json-1.0.96,2,/tmp/seraph-deepsurf-round1-fullrerun-20260429/serde_json-1.0.96,rug_crates/serde_json-1.0.96/Cargo.toml,"[""serde_json""]","[""lib""]",crate_build_failed,0,failed,0.0,failed,0,[],[],221.26,0,ok,0.0,0,0,0,0,skipped,attempted,api::serde_json::ser::to_string,serde_json::ser::to_string,2.2,,
nom-7.1.2,396.04,,2.6,0,ok,0.34,0,ok,392.83,0,ok,/tmp/deepSURF-main/dataset/rug_crates/nom-7.1.2/Cargo.toml,rug_crates/nom-7.1.2/Cargo.toml,no_targets,RUG,0.26,0,ok,nom-7.1.2,0,/tmp/seraph-deepsurf-round1-fullrerun-20260429/nom-7.1.2,rug_crates/nom-7.1.2/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,,,,
num-traits-0.2.15,404.12,,1.58,0,ok,0.33,0,ok,401.96,0,ok,/tmp/deepSURF-main/dataset/rug_crates/num-traits-0.2.15/Cargo.toml,rug_crates/num-traits-0.2.15/Cargo.toml,no_targets,RUG,0.25,0,ok,num-traits-0.2.15,0,/tmp/seraph-deepsurf-round1-fullrerun-20260429/num-traits-0.2.15,rug_crates/num-traits-0.2.15/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,,,,
crc32fast-1.3.2,15.82,,0.57,0,ok,0.25,0,ok,14.75,0,ok,/tmp/deepSURF-main/dataset/rug_crates/crc32fast-1.3.2/Cargo.toml,rug_crates/crc32fast-1.3.2/Cargo.toml,no_targets,RUG,0.25,0,ok,crc32fast-1.3.2,0,/tmp/seraph-deepsurf-round1-fullrerun-20260429/crc32fast-1.3.2,rug_crates/crc32fast-1.3.2/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,,,,
ryu-1.0.13,54.9,,0.55,0,ok,0.25,0,ok,24.87,0,ok,/tmp/deepSURF-main/dataset/rug_crates/ryu-1.0.13/Cargo.toml,rug_crates/ryu-1.0.13/Cargo.toml,validated,RUG,0.25,0,ok,ryu-1.0.13,3,/tmp/seraph-deepsurf-round1-fullrerun-20260429/ryu-1.0.13,rug_crates/ryu-1.0.13/Cargo.toml,[],[],,1,ok,1.0,ok,0,[],[],28.98,0,ok,0.0,0,0,1,0,ok,validated,api::ryu::pretty::format32,ryu::pretty::format32,4.35,,
semver-1.0.17,40.23,,0.59,0,ok,0.25,0,ok,39.15,0,ok,/tmp/deepSURF-main/dataset/rug_crates/semver-1.0.17/Cargo.toml,rug_crates/semver-1.0.17/Cargo.toml,no_targets,RUG,0.25,0,ok,semver-1.0.17,0,/tmp/seraph-deepsurf-round1-fullrerun-20260429/semver-1.0.17,rug_crates/semver-1.0.17/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,,,,
time,334.4,time workspace member,1.08,0,ok,0.3,0,ok,332.76,0,ok,/tmp/deepSURF-main/dataset/rug_crates/time/time/Cargo.toml,rug_crates/time/time/Cargo.toml,no_targets,RUG,0.26,0,ok,time,0,/tmp/seraph-deepsurf-round1-fullrerun-20260429/time,rug_crates/time/time/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,,,,
uuid-1.4.0,261.98,,0.92,0,ok,0.29,0,ok,151.12,0,ok,/tmp/deepSURF-main/dataset/rug_crates/uuid-1.4.0/Cargo.toml,rug_crates/uuid-1.4.0/Cargo.toml,validated,RUG,0.27,0,ok,uuid-1.4.0,5,/tmp/seraph-deepsurf-round1-fullrerun-20260429/uuid-1.4.0,rug_crates/uuid-1.4.0/Cargo.toml,[],[],,1,ok,1.0,ok,0,[],[],109.38,0,ok,0.07692307692307693,0,0,1,0,ok,validated,api::uuid::Uuid::from_bytes_ref,uuid::Uuid::from_bytes_ref,2.4,,
integer-encoding-3.0.4,141.08,,0.51,0,ok,0.31,0,ok,38.33,0,ok,/tmp/deepSURF-main/dataset/crabtree_crates/integer-encoding-3.0.4/Cargo.toml,crabtree_crates/integer-encoding-3.0.4/Cargo.toml,validated,CRABTREE,0.26,0,ok,integer-encoding-3.0.4,1,/tmp/seraph-deepsurf-round1-fullrerun-20260429/integer-encoding-3.0.4,crabtree_crates/integer-encoding-3.0.4/Cargo.toml,[],[],,1,ok,1.0,ok,0,[],[],101.66,0,ok,0.07142857142857142,0,0,1,0,ok,validated,api::integer_encoding::fixed::FixedInt::switch_endianness,integer_encoding::fixed::FixedInt::switch_endianness,2.1,,
sparsey-0.7.0,1.0,,1.0,1,failed,,,,,,,/tmp/deepSURF-main/dataset/crabtree_crates/sparsey-0.7.0/Cargo.toml,crabtree_crates/sparsey-0.7.0/Cargo.toml,extract_failed,CRABTREE,,,,sparsey-0.7.0,,/tmp/seraph-deepsurf-round1-fullrerun-20260429/sparsey-0.7.0,crabtree_crates/sparsey-0.7.0/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,,,"failed to extract knowledge from manifest: failed to parse rustdoc JSON: invalid type: map, expected a string at line 1 column 673",extract
oxidebpf-0.2.3,134.08,,1.17,0,ok,0.27,0,ok,37.79,0,ok,/tmp/deepSURF-main/dataset/crabtree_crates/oxidebpf-0.2.3/Cargo.toml,crabtree_crates/oxidebpf-0.2.3/Cargo.toml,validated,CRABTREE,0.25,0,ok,oxidebpf-0.2.3,5,/tmp/seraph-deepsurf-round1-fullrerun-20260429/oxidebpf-0.2.3,crabtree_crates/oxidebpf-0.2.3/Cargo.toml,[],[],,1,ok,1.0,ok,0,[],[],94.6,0,ok,0.0,0,0,1,0,ok,validated,api::oxidebpf::maps::ArrayMap::new,oxidebpf::maps::ArrayMap::new,3.65,,
leapfrog-0.2.1,300.51,,0.71,0,ok,0.32,0,ok,91.77,0,ok,/tmp/deepSURF-main/dataset/crabtree_crates/leapfrog-0.2.1/Cargo.toml,crabtree_crates/leapfrog-0.2.1/Cargo.toml,crate_build_failed,CRABTREE,0.25,0,ok,leapfrog-0.2.1,1,/tmp/seraph-deepsurf-round1-fullrerun-20260429/leapfrog-0.2.1,crabtree_crates/leapfrog-0.2.1/Cargo.toml,"[""leapfrog""]","[""lib""]",crate_build_failed,0,failed,0.0,failed,0,[],[],207.46,0,ok,0.0,0,0,0,0,skipped,attempted,api::leapfrog::util::load_u64_le,leapfrog::util::load_u64_le,2.1,,
fixedbitset-0.4.1,148.34,,0.56,0,ok,0.28,0,ok,85.86,0,ok,/tmp/deepSURF-main/dataset/crabtree_crates/fixedbitset-0.4.1/Cargo.toml,crabtree_crates/fixedbitset-0.4.1/Cargo.toml,validated,CRABTREE,0.25,0,ok,fixedbitset-0.4.1,9,/tmp/seraph-deepsurf-round1-fullrerun-20260429/fixedbitset-0.4.1,crabtree_crates/fixedbitset-0.4.1/Cargo.toml,[],[],,1,ok,1.0,ok,0,[],[],61.38,0,ok,0.038461538461538464,0,0,1,0,ok,validated,api::fixedbitset::FixedBitSet::with_capacity_and_blocks,fixedbitset::FixedBitSet::with_capacity_and_blocks,2.3,,
roaring-0.10.1,431.83,,0.81,0,ok,0.27,0,ok,250.91,0,ok,/tmp/deepSURF-main/dataset/crabtree_crates/roaring-0.10.1/Cargo.toml,crabtree_crates/roaring-0.10.1/Cargo.toml,validated,CRABTREE,0.26,0,ok,roaring-0.10.1,1,/tmp/seraph-deepsurf-round1-fullrerun-20260429/roaring-0.10.1,crabtree_crates/roaring-0.10.1/Cargo.toml,[],[],,1,ok,1.0,ok,0,[],[],179.58,0,ok,0.06896551724137931,0,0,1,0,ok,validated,api::roaring::bitmap::RoaringBitmap::rank,roaring::bitmap::RoaringBitmap::rank,2.2,,
triomphe-0.1.6,150.95,,0.69,0,ok,0.38,0,ok,60.09,0,ok,/tmp/deepSURF-main/dataset/crabtree_crates/triomphe-0.1.6/Cargo.toml,crabtree_crates/triomphe-0.1.6/Cargo.toml,validated,CRABTREE,0.26,0,ok,triomphe-0.1.6,21,/tmp/seraph-deepsurf-round1-fullrerun-20260429/triomphe-0.1.6,crabtree_crates/triomphe-0.1.6/Cargo.toml,[],[],,1,ok,1.0,ok,0,[],[],89.52,0,ok,0.08333333333333333,0,0,1,0,ok,validated,api::triomphe::thin_arc::ThinArc::from_raw,triomphe::thin_arc::ThinArc::from_raw,4.55,,
sharded-slab-0.1.4,153.08,,0.8,0,ok,0.27,0,ok,99.73,0,ok,/tmp/deepSURF-main/dataset/crabtree_crates/sharded-slab-0.1.4/Cargo.toml,crabtree_crates/sharded-slab-0.1.4/Cargo.toml,validated,CRABTREE,0.25,0,ok,sharded-slab-0.1.4,2,/tmp/seraph-deepsurf-round1-fullrerun-20260429/sharded-slab-0.1.4,crabtree_crates/sharded-slab-0.1.4/Cargo.toml,"[""harness_001_01""]","[""bin \""harness_001_01\""""]",harness_compile_failed,0,failed,1.0,ok,1,[],[],52.02,0,ok,0.3076923076923077,0,0,1,0,ok,validated,api::sharded_slab::pool::OwnedRefMut::downgrade,sharded_slab::pool::OwnedRefMut::downgrade,2.3,,
